VideoID,Video Title,Video Link,Transcript ID,Police Report ID
video_40,Shots Fired in Dorchester Ends in Firearm Arrest After Gang Unit Foot Pursuit,https://www.youtube.com/watch?v=HhVX6hlk9IM,transcript_40,narrative_40
video_41,Boston Police Traffic Stop Leads to Violent Struggle with Armed Occupants,https://www.youtube.com/watch?v=TRevFgHGKRA,transcript_41,narrative_41
video_42,Wanted Felon Caught by Boston Police While Breaking into East Boston Apartment,https://www.youtube.com/watch?v=-urIoCgX1rY,transcript_42,narrative_42
video_43,Boston Police Drug Unit Arrests Boston Couple for Trafficking Drugs in Roxbury,https://www.youtube.com/watch?v=77JLAy-S_1A,transcript_43,narrative_43
video_44,Traffic Stop In East Boston Leads To Recovery Of Automatic Ghost Gun with Extended Magazine,https://www.youtube.com/watch?v=yGKiF1qdkK8,transcript_44,narrative_44
video_45,Boston Police Gang Unit Arrests Dorchester Teen with Large Capacity Firearm in the South End,https://www.youtube.com/watch?v=w9kPVx-E8IM,transcript_45,narrative_45
video_46,Armed Robbery Suspect Arrested by Boston Police In Dorchester on Columbia Road,https://www.youtube.com/watch?v=5_1AwTBE8_g,transcript_46,narrative_46
video_47,Cambridge Woman Attacks Officers And Throws Bricks At Cruisers Outside Police Station Downtown,https://www.youtube.com/watch?v=JX3VzrBeyj8,transcript_47,narrative_47
video_48,Florida Man Arrested by Boston Police At Liberty Hotel After Making Bomb Threats At The Hotel Bar,https://www.youtube.com/watch?v=PZQgYqDjfjE,transcript_48,narrative_48
video_49,Randolph Man Arrested For Gun Charges By Boston Police Anti-crime Unit During Mattapan Traffic Stop,https://www.youtube.com/watch?v=X30swVLvzfQ,transcript_49,narrative_49
video_50,Boston Police Arrest Drunk Man on Gun Charges Following Roxbury Brawl,https://www.youtube.com/watch?v=bERDnPOki4Y,transcript_50,narrative_50
video_51,Boston Police Recover Firearm After Suspects Flee from Traffic Stop and Crash Vehicle in Dorchester,https://www.youtube.com/watch?v=FaN20cfda5A,transcript_51,narrative_51
video_52,US Marshalls and Boston Police Fugitive Unit Arrest Turkish Fugitives Wanted for Manslaughter,https://www.youtube.com/watch?v=d9QN2G1nPxc,transcript_52,narrative_52
video_53,Suspects Attempt to Flee During Traffic Stop After Officers Locate Unlawful Firearm,https://www.youtube.com/watch?v=Z8ax2NTAwLk,transcript_53,narrative_53
video_54,Dorchester Man Arrested by Boston Police on Firearms Charges Following Traffic Stop,https://www.youtube.com/watch?v=sgFPVSooheg,transcript_54,narrative_54
video_55,Seven Arrested by Boston Police Auto Theft Task Force During Franklin Park Car Meet Up,https://www.youtube.com/watch?v=CcMtu1hyWA8,transcript_55,narrative_55
video_56,Boston Police Officer Tackles Armed Suspect Fleeing on Illegal Dirt Bike in Harambe Park,https://www.youtube.com/watch?v=01UbNaIMahI,transcript_56,narrative_56
video_57,Boston Police Arrest Serial Shoplifter in Jamaica Plain After Whole Foods Shrimp Theft,https://www.youtube.com/watch?v=1gFLtmJ8F2o,transcript_57,narrative_57
video_58,Allston Man Arrested by Boston Police for Illegal Firearm with Extended Magazine,https://www.youtube.com/watch?v=HZLayGrWxQU,transcript_58,narrative_58
video_59,Mentally Deranged Teen Arrested by Boston Police for Illegal Firearm,https://www.youtube.com/watch?v=DrH8LPTZQjs,transcript_59,narrative_59
video_60,Hyde Park Man Arrested by Boston Police for Possession of a Rusty Revolver,https://www.youtube.com/watch?v=Xkt4liQKero,transcript_60,narrative_60
video_61,Police Arrest 84 Year Old East Boston Man for Attempted Murder After Violent Stabbing,https://www.youtube.com/watch?v=tXgfeR0JhEE,transcript_61,narrative_61
video_62,Firearm Recovered by Officers After 911 Call From Boston Common Burger King,https://www.youtube.com/watch?v=scY_cKiGeRU,transcript_62,narrative_62
video_63,Boston Police Gang Unit Arrested a Suspect With an Unlawful Firearm In Roxbury,https://www.youtube.com/watch?v=mWEKbfSJAtg,transcript_63,narrative_63
video_64,Boston Police Officers Recover A Firearm After Foot Pursuit In Dorchester,https://www.youtube.com/watch?v=zOHCYG0_e7g,transcript_64,narrative_64
video_65,Boston Police Apprehend Two Suspects After Car Break-in Caught on Camera,https://www.youtube.com/watch?v=IsZU-Ux5kL0,transcript_65,narrative_65
video_66,Boston Police Fugitive Unit Arrests Suspect on Most Wanted List At Work In Brockton,https://www.youtube.com/watch?v=magguwIW7cU,transcript_66,narrative_66
video_67,Boston Police Gang Unit Cops Recover Loaded Firearm With An Extended Magazine,https://www.youtube.com/watch?v=gAWbMGs0e8E,transcript_67,narrative_67
video_68,Boston Police A-7 Drug Control Unit Recovers Firearm And Narcotics Following Traffic Stop,https://www.youtube.com/watch?v=5UUCkVMoefs,transcript_68,narrative_68
